5.174603174603175093e-01,5.067460317460318331e-01,5.196428571428570731e-01,5.154761904761904212e-01,5.212301587301587658e-01
5.121031746031745602e-01,5.111111111111110716e-01,5.162698412698413231e-01,5.226190476190477607e-01,5.194444444444443754e-01
5.085317460317460014e-01,5.202380952380951662e-01,5.265873015873017149e-01,5.192460317460316777e-01,5.222222222222222543e-01
5.146825396825396304e-01,5.202380952380951662e-01,5.164682539682539097e-01,5.154761904761905322e-01,5.307539682539681447e-01
5.095238095238093790e-01,5.148809523809523281e-01,5.128968253968253510e-01,5.226190476190476497e-01,5.200396825396825795e-01
5.107142857142857872e-01,5.150793650793650258e-01,5.188492063492062822e-01,5.174603174603175093e-01,5.152777777777777235e-01
5.156746031746031189e-01,5.196428571428571841e-01,5.166666666666667185e-01,5.196428571428570731e-01,5.158730158730159276e-01
5.121031746031745602e-01,5.168650793650794162e-01,5.117063492063491648e-01,5.216269841269841612e-01,5.238095238095239470e-01
5.162698412698412120e-01,5.123015873015872579e-01,5.113095238095237693e-01,5.184523809523809978e-01,5.160714285714286254e-01
5.111111111111111827e-01,5.170634920634921139e-01,5.206349206349206726e-01,5.240079365079365337e-01,5.244047619047619291e-01
