,1998-07-01_predictions_0,1998-04-01_predictions_0,1999-07-01_predictions_0,1999-01-01_predictions_0,1998-10-01_predictions_0,2000-07-01_predictions_0,2001-01-01_predictions_0,2001-07-01_predictions_0,2001-04-01_predictions_0,2001-10-01_predictions_0,2000-04-01_predictions_0,1999-04-01_predictions_0,2000-01-01_predictions_0,1998-01-01_predictions_0,1999-10-01_predictions_0,2000-10-01_predictions_0,2003-07-01_predictions_0,2002-10-01_predictions_0,2002-07-01_predictions_0,2002-01-01_predictions_0,2005-10-01_predictions_0,2004-04-01_predictions_0,2002-04-01_predictions_0,2005-04-01_predictions_0,2003-10-01_predictions_0,2004-01-01_predictions_0,2004-10-01_predictions_0,2005-07-01_predictions_0,2003-01-01_predictions_0,2005-01-01_predictions_0,2003-04-01_predictions_0,2004-07-01_predictions_0,2006-04-01_predictions_0,2006-10-01_predictions_0,2007-07-01_predictions_0,2008-01-01_predictions_0,2007-10-01_predictions_0,2009-04-01_predictions_0,2009-01-01_predictions_0,2008-07-01_predictions_0,2007-04-01_predictions_0,2006-07-01_predictions_0,2009-07-01_predictions_0,2008-04-01_predictions_0,2007-01-01_predictions_0,2009-10-01_predictions_0,2008-10-01_predictions_0,2006-01-01_predictions_0,2010-07-01_predictions_0,2010-04-01_predictions_0,2010-01-01_predictions_0,2010-10-01_predictions_0,trade_balance_data_0,trade_balance_data_1,trade_balance_data_2,trade_balance_data_3,gdp_data_0,gdp_data_1,gdp_data_2,gdp_data_3,inflation_data_0,inflation_data_1,inflation_data_2,inflation_data_3,unemployment_data_0,unemployment_data_1,unemployment_data_2,unemployment_data_3
0,0.88618,0.88113344,0.8694925,0.87923384,0.8991296,0.768007,0.74250746,0.7590388,0.6513555,0.7779264,0.8231768,0.8560087,0.8093162,0.84323305,0.8475784,0.7487525,0.61577785,0.7587709,0.73027915,0.7245335,0.6696594,0.6250725,0.7308261,0.7542654,0.5920534,0.606976,0.56989443,0.7505996,0.8173916,0.5613897,0.76194006,0.70628047,0.7157282,0.79503787,0.72832894,0.7351203,0.7647031,0.73713607,0.7196557,0.8012583,0.74718946,0.7672232,0.78916067,0.7757719,0.7556002,0.7002285,0.75212723,0.691611,0.7205346,0.7694445,0.72375673,0.7321061,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
1,0.6118619,0.61896336,0.5329141,0.64313346,0.6108714,0.57875645,0.5851642,0.4791641,0.40772483,0.5243224,0.62093574,0.6014345,0.5458753,0.6374335,0.6111907,0.5417686,0.3781742,0.5543678,0.52636886,0.50070167,0.5263273,0.45033503,0.527318,0.5014971,0.4987012,0.39201808,0.36589974,0.48992598,0.43261132,0.35858706,0.3923086,0.4508622,0.58875686,0.59960985,0.6440043,0.6612087,0.67557937,0.6409463,0.6778785,0.64231133,0.6217771,0.55344397,0.6331313,0.66207486,0.6046919,0.5632491,0.66751087,0.5655605,0.5857163,0.51096725,0.55965436,0.61916745,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
2,0.818819,0.8157132,0.841163,0.82884043,0.7994231,0.83154535,0.81678,0.77304137,0.85776454,0.7874285,0.8221754,0.83797467,0.8238253,0.8461253,0.8236542,0.8311423,0.9445707,0.92566425,0.8966198,0.83314586,0.8736221,0.92954683,0.83314,0.85742885,0.93759406,0.93424654,0.89548635,0.85636824,0.8806294,0.8317868,0.9177033,0.91033936,0.8621482,0.8200849,0.86945915,0.8499668,0.8184984,0.9238451,0.8950817,0.83919066,0.84631515,0.85521567,0.9292857,0.8309052,0.84641653,0.92045003,0.883346,0.85615414,0.93196607,0.9286603,0.9203726,0.9302304,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
3,0.7134865,0.7087489,0.69657725,0.6997362,0.7178975,0.6769637,0.6666434,0.65095747,0.5746013,0.7050418,0.6672491,0.70137197,0.62923044,0.70302427,0.6974566,0.6722134,0.7104858,0.7114193,0.7254273,0.6984999,0.5576001,0.61335415,0.70991015,0.6863563,0.7239091,0.6523731,0.64287704,0.67226624,0.6751483,0.6750603,0.6852603,0.5983329,0.56277686,0.62598187,0.5990936,0.6395305,0.65091574,0.67477053,0.7090432,0.7179388,0.5994468,0.61743915,0.7135808,0.7055516,0.5808271,0.6913785,0.67413014,0.57336724,0.62932134,0.67132235,0.67647487,0.61589193,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
4,0.6996196,0.7000039,0.6480229,0.67874783,0.7019369,0.66373837,0.67631185,0.634954,0.63920355,0.6798837,0.6626445,0.6829102,0.6572654,0.74206513,0.66654336,0.64862555,0.75467485,0.7104929,0.76185966,0.7044128,0.73682505,0.77796304,0.7036792,0.7281044,0.7711185,0.7868287,0.7668979,0.7436141,0.74235874,0.7778938,0.7157256,0.76089716,0.7264422,0.7167387,0.7051467,0.69053316,0.7039464,0.6580069,0.620682,0.6808591,0.70337486,0.7414311,0.6041724,0.678814,0.71400326,0.6154606,0.6383007,0.73875684,0.6461495,0.60730475,0.6339363,0.6609234,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
5,0.5026144,0.5119334,0.5027048,0.5346036,0.5295177,0.47713104,0.43915644,0.35780177,0.35111222,0.44007424,0.47559723,0.51607656,0.44637817,0.52463335,0.4992949,0.41398767,0.33975622,0.34393457,0.3747403,0.4152113,0.27387422,0.32296106,0.42879763,0.2906415,0.35412037,0.32318628,0.32760757,0.23702538,0.34698626,0.28810555,0.38482088,0.3558219,0.32684347,0.45677656,0.46747267,0.4865537,0.48897418,0.29358077,0.364791,0.5153324,0.47161213,0.4154283,0.25702992,0.51050776,0.48175484,0.21214736,0.46411806,0.30975804,0.16442783,0.18613017,0.2035614,0.18769221,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
6,0.55353814,0.5715477,0.51154196,0.56519973,0.549864,0.54110503,0.58723235,0.52941597,0.5485268,0.5384328,0.5611822,0.52933085,0.54790324,0.68306947,0.54353005,0.4990338,0.40829864,0.45629263,0.454034,0.5283656,0.45375013,0.37644887,0.5547636,0.5214588,0.43773085,0.33951688,0.43874946,0.6391007,0.4341697,0.52312976,0.4253499,0.4144545,0.56333286,0.4768598,0.40632534,0.49630365,0.54304355,0.60151666,0.595558,0.52785933,0.44149294,0.48707426,0.60795397,0.53366613,0.41850752,0.60383964,0.5020315,0.5060226,0.7639829,0.6312,0.7006113,0.70376724,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
7,0.92983896,0.92160237,0.9155761,0.8855667,0.91425073,0.84335095,0.8587102,0.8394212,0.8617893,0.84671134,0.8776524,0.8968836,0.88747376,0.91270524,0.88445085,0.8598524,0.9502492,0.91177726,0.81423485,0.8539379,0.9012692,0.920842,0.83519834,0.9120644,0.9210627,0.9483,0.90702146,0.9065506,0.9363614,0.91550964,0.94824225,0.91337585,0.9010071,0.9032457,0.8807471,0.8572316,0.84811807,0.875895,0.8176019,0.85675395,0.8976072,0.9119937,0.8727643,0.8179276,0.9100704,0.85081595,0.8596194,0.9068252,0.920981,0.921361,0.9051442,0.93720573,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
8,0.63641113,0.63632554,0.5644615,0.60771453,0.64267963,0.5863278,0.55052984,0.5771385,0.39372095,0.5818731,0.6021835,0.5454184,0.51333225,0.6481364,0.58692837,0.53642625,0.44520694,0.40910476,0.4872099,0.5478282,0.5517063,0.59543353,0.5758056,0.648535,0.37145534,0.37503177,0.5390764,0.65672123,0.29777548,0.6116116,0.34681287,0.55922925,0.51283664,0.55750114,0.40746546,0.46724188,0.5349791,0.36037502,0.4588739,0.53806967,0.4659082,0.48978272,0.37497953,0.5741186,0.4858711,0.30205226,0.49669316,0.50236154,0.3386344,0.30800378,0.279881,0.3613206,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
9,0.6462978,0.6424108,0.601916,0.60698926,0.6145786,0.6696938,0.65726805,0.64734894,0.6970987,0.6622169,0.65396845,0.635133,0.6299392,0.69848794,0.6334736,0.6148972,0.7473302,0.6728856,0.73054653,0.6717384,0.676553,0.6119124,0.6598038,0.5645038,0.72804457,0.69566345,0.6705477,0.5609639,0.73694074,0.64786106,0.7381764,0.59114075,0.6977097,0.5984462,0.60176754,0.5721467,0.5391076,0.5761361,0.6107391,0.51852834,0.6107532,0.6436501,0.64114416,0.5010769,0.6757379,0.6525542,0.5454244,0.6879559,0.53517175,0.61891615,0.6622519,0.6229707,0.2541427907697073,0.13179495121573487,0.3696763202725724,0.4349801249290176,0.9240509408487709,0.9161811392358873,0.9114515547014057,0.9037662332396742,0.35555555555555557,0.4222222222222222,0.5333333333333333,0.5333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
